num_@,url_length,host_length,num_.,num_-,num_?,num_&,num_=,num_,num_~,num_%,num_/,num_*,num_:,num_comma,num_;,num_$,numSpaces,num_www,num_com,num_bslash,num_digits,num_params,hostname_2length_ratio,url_entropy,contains_port,http_in_query,tld_in_path,shortener_url,is_ip,url_length_sus,sus_extension_type,phish_hints,count_fragment,months_since_creation,months_since_expired,url_is_live,num_redirects,body_length,numLinks,numImages,script_length,specialCharacters,scriptBodyRatio,open_page_rank,is_https,status
0,37,19,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,37,0,0.513513514,3.195295934,0,0,0,0,0,0,1,0,0,164,0,0,0,0,0,0,0,0,0,2,0,0
0,77,23,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,77,0,0.298701299,3.708132065,0,0,0,0,0,1,0,0,0,211,0,0,0,0,1,0,1588,578,0,2,0,1
0,126,50,4,1,1,2,3,2,0,0,5,0,1,0,0,0,0,0,2,0,126,3,0.396825397,3.999079571,0,0,0,0,0,1,0,0,0,153,0,0,0,0,0,0,0,0,0,0,1,1
0,18,11,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,18,0,0.611111111,3.095795255,0,0,0,0,0,0,0,0,0,175,0,0,1,9025,63,26,1723,2105,0.190914127,4,0,0
0,55,15,2,2,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,0,55,0,0.272727273,3.189898095,0,0,0,0,0,0,0,0,0,290,0,0,1,10550,141,51,6818,5508,0.646255924,5,0,0
0,32,24,3,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,32,0,0.75,3.261027604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,19,12,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,19,0,0.631578947,2.688721876,0,0,0,0,0,0,0,0,0,269,0,0,1,819,10,36,1726,708,2.107448107,1,0,0
0,81,27,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,0,81,0,0.333333333,3.810081021,0,0,0,0,0,1,0,0,0,211,0,0,0,0,1,0,1588,578,0,2,0,1
0,42,34,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,42,0,0.80952381,3.984234165,0,0,0,0,0,0,0,0,0,0,0,0,0,52616,121,61,8100,13663,0.153945568,0,0,0
0,104,10,1,10,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,104,0,0.096153846,3.121928095,0,0,0,0,0,1,0,1,0,329,0,0,0,33932,286,29,167863,49692,4.947041141,5,1,0
0,56,22,3,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,56,0,0.392857143,3.663532755,0,0,1,0,0,0,0,0,0,0,0,0,0,3515,13,8,1197,696,0.340540541,3,1,0
0,43,16,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,43,0,0.372093023,3.125,0,0,0,0,0,0,0,0,0,282,0,0,0,9988,199,35,19186,7111,1.920905086,6,1,0
